word,definition,translation
B,n. the 2nd letter of the Roman alphabet\nn. the blood group whose red cells carry the B antigen,"[计] 基地址, 数据库, 基极, 二进制, 块, 字组, 布尔, 总线, 占线, 字节\n[医] 硼(5号元素)"
b acid,,[机] B酸
b address,,[电] B地址
b and s gauge,,[电] B和S线规
b battery,,[电] B电池组
B bile,,[医] 胆囊胆汁
B calls,,"[医] B细胞, β细胞(胰岛)"
B cell,,B细胞
b channel,,[电] B波道
B complex,,复合维生素b
B digit,,[计] B数位
B dose,,[医] B量(足使亚铂氰化钡剂自绿色变为红棕色的放射量)(已废用)
B encephalitis,,[医] 乙型脑炎
B fibers,,[医] B类纤维(神经)
b grade,,[经] 乙级
B horizon,,B层；沉淀层
B ignore A gate,,[计] 与A无关的B门
B instruction,,[计] 变址指令
B lymphocyte,,[细胞] B淋巴细胞
B movie,,"n. [美国俚语]二流影片, B级片(指成本低、演员差的平庸影片)[亦作 B-picture]"
B picture,,"n. (常指生产周期短、成本低廉、粗制滥造的)B级影片, 二流影片, 劣质影片[亦作 B-movie]"
B powder,,[化] B火药
b power supply,,"[电] B功率源, B电源"
B Sc,,理学士
b scope,,[电] B望镜
b stage,,[机] B阶
B strain,,[化] 后张力
B synnematin,,"[医] 共霉素B, 头孢菌素N, 青霉素N"
b trace,,[电] B台描迹
b type eraphite,,[机] B型石墨
B virus,,"[医] B病毒, 喉疱疹病毒"
B vitamin,,[网络] B维生素
b&b,,abbr. bed and breakfast 含早餐的旅馆; bed and breakfast 含早餐之旅馆
b&bs,plural of b&b,(b&b 的复数) abbr. bed and breakfast 含早餐的旅馆; bed and breakfast 含早餐之旅馆
b-17s,,【航空学】第二次世界大战中使用的一种四引擎中翼轰炸机\nn. 17's = Flying Fortress
b-1s,,【航空学】美国空军于1974年首次飞行的远程超音速轰炸机；【军事】(美制)B—1轰炸机
b-24s,,【航空学】第二次世界大战中使用的一种四引擎中翼轰炸机\nn. 24's = Liberator
b-25s,,【航空学】第二次世界大战中使用的一种双引擎轰炸机
b-26s,,【航空学】第二次世界大战中使用的一种双引擎轰炸机
b-29s,,【航空学】第二次世界大战中使用的一种四引擎轰炸机\nn. 29's = Superfortress
b-2s,,【航空学】一种双引擎夜间轰炸机，通称“Condor”(秃鹰)
b-47s,,【航空学】一种有六引擎喷气发动机的轰炸机
b-52,n. United States military aircraft; B- stands for bomber, [军事] B—52 轰炸机\nn. 52's美国八引擎喷气式轰炸机
b-52's,plural of b-52,(b-52 的复数)  [军事] B—52 轰炸机\nn. 52's美国八引擎喷气式轰炸机
b-52s,,n. 52's美国八引擎喷气式轰炸机\n【军事】 B—52 轰炸机
B-acid,,"[化] B酸; 1-氨基-8-萘酚3,5-二磺酸"
b-adjacent code,,[计] b-邻接码
b-and-b,,abbr. 供应住宿和早餐（bed and breakfast）
b-b,,abbr. 滚珠轴承（ball bearing）；铅笔芯（double black）
B-B fraction,,[化] 丁烷-丁烯馏分
b-b-q,,abbr. 烧烤炉；野外烧烤（barbecue）
b-ball,,abbr. basketball 篮球
b-battary,,[电] B电池组
b-boy,,abbr. busboy <美国>餐馆服务员助手; mess sergeant 伙食中士（海军）（代号）
b-boys,plural of b-boy,(b-boy 的复数) abbr. busboy <美国>餐馆服务员助手; mess sergeant 伙食中士（海军）（代号）
