word,definition,translation
E,n. the base of the natural system of logarithms; approximately equal to 2.718282...\nn. the 5th letter of the Roman alphabet,"[计] 元件, 部件, 元素, 误差, 执行, 表达式, 指数"
e and m leads,,[电] E和M锐引线
E beam,,[计] 电子束
E beam bonding,,[计] 电子束压焊
E coli,,abbr. 大肠杆菌（Escherichia coli）
e format,,[电] e格式
E isomer,,[化] E异构体
E layer,,E电离层
e plane,,[电] E平面
e plane benel,,[电] E平面弯曲
E region,,"【地球物理学】E区(离地球表面约90～150公里高处的部分电离层),E 电离层 [亦作 E layer,Heaviside layer,Kennelly-Heaviside layer]"
E register,,"[计] E寄存器, 扩充寄存器"
E ticket,,n. 电子票\n[网络] 机票电子档；电子机票；机票的副本
e transformer,,[电] E形变压器
E value,,[计] 卷带余量
e'en,r even,"adv. (=even)恰好, 即使,甚至"
e'er,r at all times; all the time and on every occasion,"adv. (=ever)曾经, 到底"
e-," A Latin prefix meaning out, out of, from; also, without. See Ex-.","[医] 出, 除, 摘, 离, 从"
E-1 mechanism,,[化] E-1机理; 单分子消去反应机理
E-2 mechanism,,[化] E-2机理; 双分子消去反应机理
E-attribute,,[计] E属性
e-beam,,abbr. electron beam 电子束
e-bend,,[电] E弯曲
E-boat,,n. 鱼雷快艇
E-boats,plural of E-boat,(E-boat 的复数) n. 鱼雷快艇
E-bomb,,[网络] 电子炸弹；电磁脉冲炸弹；电磁炸弹
e-book,,n. 电子书
e-books,,n. 电子书( e-book的名词复数 )
e-business,,n. 电子商务
e-businesses,,n. 电子商务( e-business的名词复数 )
e-c,,abbr. ether-chloroform 天空醚—氯仿（混合）
e-card,,n. 电子名片
e-cards,,n. 电子贺卡(e-card的复数)
e-cash,, 电子现金（互联网付费和收费系统）
e-commerce,n. commerce conducted electronically (as on the internet),n. 电子商务
e-core,,[电] E-心
e-cores,plural of e-core,(e-core 的复数) [电] E-心
E-cycle,,"[计] E周期, 执行周期"
e-discovery,, 电子取证
e-display,,[电] e-扫描
e-document,, 电子文档
e-documents,plural of e-document,(e-document 的复数)  电子文档
e-e,, [医][=erythematous-edematous(reaction)]红斑性水肿（反应）
E-E energy transfer,,[化] 电子-电子能量传递
E-E reaction,,"[医] 红斑水肿性反应, 福谢氏反应"
e-form,,n. 电子表格
e-friend,, = e-pal
e-government,,n. 网络政务厅，电子政务厅
e-h tuner,,[电] E-H调谐器
e-i pick off,,[电] E-I选截
e-l,,abbr. Erie-Lackawanna 伊利-莱卡瓦那（铁路）
e-layer,,[电] 导层
e-learning,,n. 电子学习：特指通过互联网和电子邮件进行的学习和培训
E-MAIL,v. communicate electronically on the computer,[计] 电子邮件
e-mailed,v communicate electronically on the computer,v. 电子邮件( e-mail的过去式和过去分词 )
e-mailer,,n. 电子邮件 (E-mail的变形)
e-mailing,v communicate electronically on the computer,v. 电子邮件( e-mail的现在分词 )
e-mails,n (computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in\nv communicate electronically on the computer,n. 电子邮件( e-mail的名词复数 )\nv. 电子邮件( e-mail的第三人称单数 )
e-mall,, 电子商城
e-media,, 电子媒体
e-meter,,abbr. electrical-resistance galvanometer 电阻检流计
e-money,,abbr. electronic money 电子货币
E-Mycin,,[网络] 红霉素
e-newsletter,, 电子通讯; 电子杂志
e-number,,n. E数
e-numbers,plural of e-number,(e-number 的复数) n. E数
e-o,,abbr. electro-optical 电光的; even-odd 成效或反正机会均等
e-pal,, 网友（通过电子邮件交流）
e-passport,, 电子护照
e-plane t-junction,,[电] E平面T形接头
e-portfolio,, 电子学习档案
e-prime,,n. 英语精华，没有(或不使用)动词 to be 的英语
e-region,,[电] E范围
e-scope,,[电] E-显示
e-system,, 电子系统
e-systems,plural of e-system,(e-system 的复数)  电子系统
e-tailer,, 电子商务零售商
e-tailers,,abbr. electronic retailers 电子产品零售商
e-tailing,,n. 电子零售; 网络零售
e-ticket,, 电子客票
E-time,,[计] 执行时间
e-type,,"abbr. electric-fused (quartzglass) 电热熔凝型（石英玻璃）; Jungian extrovert type 荣格外向型（荣格是瑞士心理学家, 精神病学家）"
e-types,plural of e-type,"(e-type 的复数) abbr. electric-fused (quartzglass) 电热熔凝型（石英玻璃）; Jungian extrovert type 荣格外向型（荣格是瑞士心理学家, 精神病学家）"
E-V energy transfer,,[化] 电子振动能量传递
e-value,,[化] e值
e-values,plural of e-value,(e-value 的复数) [化] e值
e-vector,,[电] -E向量
E-viton,,[医] 紫外线单位(紫外线照射有效生物剂量)
e-voting,,n. 电子投票
e-wave,,[电] E形波动
e-z,,abbr. easy 容易的
E-Z system,,[化] E-Z系统F
e-zine,,n. 电子杂志
e-zines,,n. 电子杂志( e-zine的名词复数 )
e.,,[医] 电子\n[经] 东
E. A. von Willebrand,,[网络] 威廉·布莱恩
E. B.,,"[医] 血小板, 原生小体"
E. B. White,,[网络] 怀特；埃尔文·布鲁克斯·怀特
E. coli,,大肠杆菌
E. D.,,"[医] 红斑量, 有效量"
e. e. cummings,,[网络] 卡明斯
e. e. s.,,[医] 中枢兴奋状态
E. G. Marshall,,[网络] 马歇尔
E. H. Harriman,,[网络] 哈里曼
E. H. Weber,,[网络] 韦伯博士
E. j.,,[医] 肘反射
