word,definition,translation
F,n. the 6th letter of the Roman alphabet,"[计] 故障, 假, 法拉, 字段, 标记, 特征, 分数, 频率, 函数, 功能"
f center,,[电] F心
F clef,,低音谱号
F factor,,"[医] F因子, 生育因子"
f format,,[电] F格式
f layer,,[电] F层
f number,,焦距比数
F region,,"【气象学】F区,F(电离)层(＝F layer)"
F strain,,[化] 前张力
F wave,,[医] F波(心电图)
F+,,[电] F正
F-,,[电] F负
f-12,,"[医] 氟利昂十二, 二氯二氟甲烷"
f-14,," (Tomcat“雄猫”)美舰队防空与海上制空的支柱, 一种变后掠翼重型舰载战斗机"
f-14s,plural of f-14,"(f-14 的复数)  (Tomcat“雄猫”)美舰队防空与海上制空的支柱, 一种变后掠翼重型舰载战斗机"
f-16,," (FightingFalcon“战隼”)美空军现役主力轻型战斗机, “雷鸟”表演队的专用机"
f-16s,plural of f-16,"(f-16 的复数)  (FightingFalcon“战隼”)美空军现役主力轻型战斗机, “雷鸟”表演队的专用机"
f-18,," (Hornet“大黄蜂”)双发超音速舰载战斗/攻击机, “蓝色天使”表演队的专用机"
f-18s,plural of f-18,"(f-18 的复数)  (Hornet“大黄蜂”)双发超音速舰载战斗/攻击机, “蓝色天使”表演队的专用机"
F-acid,,[化] F酸; 2-萘酚-7-磺酸
F-actin,,[化] F肌动蛋白; 纤维状肌动蛋白
f-block element,,[化] f区元素
F-centres,,[化] F心
F-criterion(F-test),,[化] F判据; F检验
f-curve,,[医] f曲线(原子散射曲线)
f-diagram,,[机] F图
f-display,,[电] F-显示
F-ed,past participle of F-,(F- 的过去分词) [电] F负
f-f cavity preselector,,[电] 射频空腔预选器
f-g,, [医][=feeley-gorman(agar)]菲利-戈尔曼二氏（琼脂）
f-hole,, （小提琴等上的）f形音孔
f-holes,plural of f-hole,(f-hole 的复数)  （小提琴等上的）f形音孔
f-ing,,"abbr. fucking (slang=copulating) （俚语）性交, 交配, 交尾"
f-m,,[电] 调频
f-m broadcast band,,[电] 调频广播波段
f-m broadcast channel,,[电] 调频广播波道
f-m broadcast station,,[电] 调频广播电台
f-m discriminator,,[电] 调频鉴频器
f-m multiplex,,[电] 调频多工
f-m process,,"[机] F-M造模法, 全模法"
f-m radar,,[电] 调频雷达
f-m recording,,[电] 调频记录(磁带)
f-m stereo,,[电] 调频立体
f-m stereophonic broadcast,,[电] 调频立体声广播
f-m threshold,,[电] 调频临限
f-number,,"n. 数, 光圈数"
F-reactive dye,,[化] F型反应染料; F型活性染料
F-reactive dyes,,[化] F型反应染料; F型活性染料
f-region,,[电] F区
f-scan,,[电] F扫描
f-scope,,[电] F镜
f-statistics,, F统计量
f-stop,,"n. 光圈数刻度, 光圈数"
F-test,,[化] F检验
f-type,,abbr. flame-fused (quartzglass) 火焰熔凝型（石英玻璃）
f-value,, 焦距值
f-word,,n. 那个以f开头的词（此处指fuck性交）
f-words,plural of f-word,(f-word 的复数) n. 那个以f开头的词（此处指fuck性交）
