word,definition,translation
G,n. a unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated\nn. the 7th letter of the Roman alphabet,"[计] 千兆, 吉, 图形, 网格, 接地\n[化] 鸟苷"
G acid,,"[化] G酸; 2-萘酚-6,8-二磺酸"
G clef,,n. 高音谱号
g force,,[电] G力
g gad tongs,,[机] 平嘴钳
g parameter,,[电] g参数
G protein,,G蛋白
G salt,,[化] G盐
G spot,,女人性感区（等于G-spot）
g string,,G线
G suit,,n. 抗过载飞行衣\n[网络] 抗超重飞行衣；反重力装；抗重力服
G type bacterium,,[医] G型菌(细菌的可滤过阶段)
g-band,, G带
g-bands,plural of g-band,(g-band 的复数)  G带
g-class,,abbr. Soviet diesel-powered submarines G级潜艇（前苏联用于发射导弹的柴油机动力潜艇，北约组织称之为高尔夫式潜艇）（代号）
g-d,,abbr. god-damned 该死的，改诅咒的
g-display,,[电] G显示
g-f,,abbr. globular-fibrous 球状-纤维状（蛋白），小球纤维状的
G-F transformation,,[医] 球状纤维状变形(肌肉收缩时的现象)
g-factor,,[化] g因子
G-force,n a unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated,"n. [物]地球引力, 重力"
G-forces,plural of G-force\nn a unit of force equal to the force exerted by gravity; used to indicate the force to which a body is subjected when it is accelerated,"(G-force 的复数) n.[物]地球引力, 重力"
G-H solvents,,"[化] G-H(混合)溶剂(G代表乙二醇,H代表烃溶剂,如烃、醇、氯代烃等)"
G-Jo,,[网络] 鸟居元忠
g-line,,[电] G线
g-m counter,,[电] G-M计数器
G-man,n. a special law-enforcement agent of the Federal Bureau of Investigation,联邦调查局调查员
G-men,plural of G-man\nn. a special law-enforcement agent of the Federal Bureau of Investigation,(G-man 的复数) 联邦调查局调查员
G-N ratio,,"[医] 糖氮比率, D-N比率"
g-p,,abbr. graduated-payment 分期支付
g-protein,, G 蛋白
g-proteins,plural of g-protein,(g-protein 的复数)  G 蛋白
G-rated,,a. 【电影】G级的；老幼皆宜的
g-scan,,[电] G扫描
g-scope,,[电] G镜
g-spot,,n. Gräfenberg spot（格拉芬伯革点，简称G点，即女性阴道内的敏感中心）
G-string,"n minimal clothing worn by stripteasers; a narrow strip of fabric that covers the pubic area, passes between the thighs, and is supported by a waistband","n. (小提琴的)G弦, 遮羞布"
G-strings,"n. minimal clothing worn by stripteasers; a narrow strip of fabric that covers the pubic area, passes between the thighs, and is supported by a waistband",n. G弦；内裤（G-string的复数）
g-strophanthin,,"[医] 苦毒毛旋花子甙, 苦羊角拗甙"
G-suit,,n. (太空人等所穿的)重力衣
g-tetracosenoic acid,,[医] 廿四碳烯-9-酸
G-Unit,"G-Unit stands for Gay Unit and it has a lot of really bad rappers. Their worst move came when they released The Game from their group. They should all die and make room for real music like Non Phixion, Canibus, and Jedi Mind Tricks.\n> G-Unit is worse than seeing your grandmother naked.\n",
G-V process,,[化] GV法; 改良砷碱法; 改良砷碱法脱硫
G-value,,[化] G值
g-y signal,,[电] G-Y讯号
G.,,"[医] 克, 龈的, 分生孢子的; 牛顿氏引力常数"
G. A.,,[医] 龈轴的
G. A. S.,,[医] 全身适应综合征
G. B. Shaw,,[网络] 萧伯纳
G. E. Moore,,[网络] 乔治·爱德华·摩尔
G. F. R.,,[医] 肾小球滤过率
