word,definition,translation
K,n. the 11th letter of the Roman alphabet\nn. street names for ketamine,"[计] 键, 关键字, 千, 千字节\n[医] 钾(19号元素)"
K acid,,[化] K酸
k band,,[电] K带
K capture,,[化] K俘获; K层电子俘获
k distinct grammar,,[计] k次相异文法
K electrons,,[化] K层电子
K lines,,[医] K线(X线谱)
K particle,,[网络] K粒子
K ration,,[医] K种口粮(军用应急口粮)
K rations,,"【军事】K 种口粮, 应急口粮(美军在第二次世界大战时用以应急的口粮)"
K region,,[医] K区
K Stoff,,[医] 氯甲酸氯甲酯
K'ung Futzu,,[网络] 康德祖
K-12,,从幼儿园到12年级的儿童教育
k-abc,, 考夫曼儿童评估测验
K-acid,,"[化] K酸; 1-氨基-8-萘酚-4,6-二磺酸"
k-b,, [医][=key-board]键盘，开关板，按纽
k-band,,[计] K波段
K-bands,,"[医] 间线, K带"
k-carrier system,,[电] K载子系统
k-chromatic graph,,[计] k色图
k-coloring,,[计] k着色
k-connected graph,,[计] k连通图
k-connectivity,,[计] k连通性
k-density,,[计] k稠密性
k-display,,[电] K形显示
k-edge colorable graph,,[计] k边可着色图
K-electron capture,,[医] K电子俘获
k-face coloring,,[计] k面着色
K-factor,,"[医] K系数, [中子]增殖系数"
K-factors,plural of K-factor,"(K-factor 的复数) [医] K系数, [中子]增殖系数"
k-g,,abbr. Kanematsu-Gosho Ltd. 兼松-御所有限公司
K-gamma-factor,,[化] Kγ常数; kγ因子
k-l,,abbr. bacillus Klebs-Loeffler bacillus (diphtheria) 克雷白杆菌（白喉）（代号）; Karhunan-Loeve transformation 卡胡南-洛夫变换
K-lyte,,[网络] 重碳酸钾
K-meson,n an unstable meson produced as the result of a high-energy particle collision,[化] K介子
k-out-of-n code,,[计] n中取k码
k-pax,, [电影]K星异客
k-r,, [医][=an anti-cancer compound extracted from trypanosomes]从锥虫提取的一种抗癌复合物
K-radiation,,[医] K-辐射
K-reactive dye,,[化] K型反应染料; K型活性染料
K-reactive dyes,,[化] K型反应染料; K型活性染料
K-regular graph,,[计] K正则图
k-scan,,[电] K扫描
k-series,,[电] K系序
K-shell,,"[医] K层, K壳(治原子构造)"
k-strophanthin,,"[医] 绿毒毛旋花子甙, 绿羊角拗甙"
k-swiss,, 盖世威
k-t,,abbr. Kazin-Turkic 卡津-突厥语
K-Y jelly,,"[医] K-Y凝胶(一种滑润剂,含硼酸、甘油、西黄蓍胶等)"
k.,,"[医] 磁化率, 千"
k. k.,,[医] 膝反射
K. P.,,[医] 角膜后沉着物
K. U. B.,,[医] 肾输尿管膀胱
K.C.,,英国王室法律顾问
K.E.,,abbr. (=kinetic energy)【物】动能
K.H. reaction,,[医] 补体结合血细胞凝集合并反应(检马鼻疽)
k.j.,,[医] 膝反射
k.w.h.,,"[计] 千瓦小时, 度"
K12,,[计] K12Net新闻组
k2,"n. a mountain peak in the Karakoram Range in northern Kashmir; the 2nd highest peak in the world (28,250 feet high)","n. 乔戈里峰别称（世界第二大高峰）；特种部队中的一种枪, 杀伤力很强, 精准度也很高"
