word,definition,translation
Q,n. the 17th letter of the Roman alphabet,"[计] 质量, 询问, 队列, 排队, 商"
q antenna,,[电] Q天线
Q band,,"[医] Q盘, 横盘, 暗板"
q channel,,[电] Q波道
q demodulator,,[电] Q解调器
Q disk,,"[医] Q盘, 横盘, 暗板"
Q fever,,"[医] 寇热, Q热"
q gas,,[机] Q气体
q multiplier,,[电] Q倍增器
q phase,,[电] Q相位
q point,,[电] Q点
q signal,,[电] Q信号
Q value,,[医] Q值(原子核反应)
Q wave,,[医] Q波(心电图)
Q-boat,,"伪装猎潜船（第一次世界大战末英国用于诱击敌方潜艇的一种伪装商船或捕鱼船, 等于Q ship）"
Q-branch,,[化] Q支; 零支
Q-branches,plural of Q-branch,(Q-branch 的复数) [化] Q支; 零支
Q-cumbersome,When a word has too many Qs\n> All of these words are just too Q-cumbersome:\n> Albuquerque; equivoque; quaquaversal; querquedule; quinquagesima; quinquangular; quinquarticular;\n> quinqueangled; quinquedentate; quinquedentated;\n> quinquefarious; quinquefid; quinquefoliate; quinquefoliated;\n> quinqueliteral; quinquelobate; quinquelobared; quinquelobed; quinquelocular; quinquenerved; quinquennial; quinquennium; quinquepartite; quinquereme;\n> quinquesyllable; quinquevalve; quinquevalvular; quinquivalent; subquinquefid\n,
Q-e scheme,,[化] Q-e概念
Q-enzyme,,[化] Q酶
Q-factor,,"[计] 品质因数\n[医] Q因数(抗阴比因数,谐振线路或线圈的定格,Z/R,或简称Q)"
Q-gas,,[化] Q气
Q-gasm,-n The sensation one experiences while cleaning one's ear canal with a Q-tip.\n> Time for a shower and Q-gasm.\n,
Q-meter,,"a. 表, 品质因素表\n[电] 测Q计"
q-multiplier,,[电] Q倍增器
q-r,,abbr. recrystallised quartz 重结晶石英（科技符号）
q-ship,,abbr. disguised man-of-war used to decoy enemy vessels 习惯用于诱骗敌人的掩饰军舰（代号）
q-ships,plural of q-ship,(q-ship 的复数) abbr. disguised man-of-war used to decoy enemy vessels 习惯用于诱骗敌人的掩饰军舰（代号）
q-signal,,[电] Q讯号
q-sort,, [医]q分类，q选择
q-spoil,,[电] Q压制
q-switched,, 使用Q开关的
Q-T interval,,[医] Q-T间期(心电图)
q-tip,, = cotton bud
Q-value,,[化] Q值
Q.,,[医] 电量
q.2 h.,,[医] 每二小时
q.3 h.,,[医] 每三小时
Q.C.,,"n. (女王的)王室法律顾问, 御用大律师"
q.d.,,[医] 每天
q.h.,,[医] 每小时
q.i.d.,,[医] 每日四次
q.l.,,[医] 任意量
Q.P.,,[医] 定量披尔奎氏反应(结核菌素定量皮上划痕法)
q.q.h.,,[医] 每四小时
Q.R.Z.,,[医] 风块反应时间
q.s.,,"[医] 适量, 足量"
q.suff.,,"[医] 适量, 足量"
q.v.,,"[医] 适量, 参照, 参阅"
Q10,,[医] 温度改变十度
qa,,abbr. 品质保证（Quality Assurance）；质量评价（Quality Assessment）
qaa,, [医]喹胺酸，螯核羧酚[抗辐射药]
qabala,,[网络] 卡巴拉；喀巴拉
qabalah,, = Kabbalah
Qabbala,,[网络] 卡巴拉
Qabbalah,,[网络] 犹太密教
qac,,abbr. quaternary ammonium compound 季铵化合物（杀菌剂）
qacs,plural of qac,(qac 的复数) abbr. quaternary ammonium compound 季铵化合物（杀菌剂）
Qaddafi,n. Libyan leader who seized power in a military coup d'etat in 1969; deposed the Libyan monarchy and imposed socialism and Islamic orthodoxy on the country (born in 1942),n. (Qaddafi)人名；(阿拉伯)卡扎菲\n卡扎菲
qadhafi,, 卡扎菲（利比亚政治领袖）
qadi,,abbr. Quality Assurance Department Instruction 质量保证部的指示
Qaeda,,[网络] 凯达；组织盖达；品牌
qaid,,"n. 酋长, 伊斯兰教法官或市政官员"
qaiet hip disease,,[医] 无炎性髋关节病
qaing,-ing form of qa,(qa 的现在分词) abbr. 品质保证（Quality Assurance）；质量评价（Quality Assessment）
Qairwan,,<阿拉伯>=Kairouan
qais,,abbr. quality audit information system 质量检查信息系统
qaisar,, [地名] [阿富汗] 盖萨尔; [地名] [阿富汗] 盖萨尔河
qala,, [地名] [马耳他] 加拉
qaly,,abbr. quality-adjusted life-year 质量调整寿命年龄
qam,,n. 正交调幅
qamar,, [地名] [巴基斯坦] 盖迈尔
qan,,abbr. Qantas Airways 澳洲航空公司
qanat,,"n. (伊朗等国从山上引水至平原的)暗渠,坎儿井"
Qandahar,n. a city in southern Afghanistan; an important trading center,"n. 坎大哈（等于Kandahar, 阿富汗城市名）"
qanon,,n. =kanoon[变体]
qantas,,n. 澳洲航空（澳大利亚最大型及历史最悠久的航空公司）
qanuns,,n. =kanoon
qar,, [医][=quality assurance reagent]质量保证试剂
Qara Shahr,,"焉耆(中国新疆中部一城市, 亦作Yenki)"
qari,, [医]卡力（片剂）（含rufloxacin）<抗菌药>
