word,definition,translation
T,n. the 20th letter of the Roman alphabet,"[计] 表, 终端, 测试, 磁道, 树, 真, 太, 万亿\n[医] 温度, 胸的, 胸廓的, 眼球内压, 眼压, 垓, 千京, 兆兆"
T agglutination,,"[医] T凝集, 细菌促成性凝集"
T attachment,,[医] 丁形附着
T bandage,,[医] 丁字带
T bar,,[医] T形秆
T cell,,淋巴细胞（胸腺依赖性细胞）
t distribution,, t 分布
T factors,,"[医] T因子, 维生素T(获自串酵母,能刺激组织生长和再生)"
T fibers,,[医] T形纤维
t flip-flop,,[电] T跳摆电路
T fracture,,[医] T字形骨折
t function,,[医] 统计系数于标准误差比率
T hinge,,n. 长尾铰链\n[网络] t型铰链
t interface,,[电] T介面
t junction,,[电] T型连接
T lymphocyte,,T淋巴细胞
T matrix,,[化] 跃迁矩阵
t network,,[电] T型网络
t ratio,,[医] 统计系数与标准误差比率
t riallelic,,三等位基因的
t shirt,,"短袖运动衫,短袖汗衫"
T splint,,[医] T形夹
T square, See under T.,丁字尺
t statistic,,[化] t统计
t test,,[医] t测验(统计学上的一种显著性测验方法)
T tubes,,"[医] T形管, 丁字管"
T wave,,[医] T波(心电图)
t&e credit card,,[经] 旅游信用卡
t'ai chi,,n. (Chi.)太极
t'ai chi chuan,,[网络] 太极拳
T'ien-ching,,[网络] 天井
T+1,,[医] 眼压加一
T-1,,[医] 眼压减一
T-50 test,,[化] T-50试验
t-account,,[经] 丁字式帐户
t-account worksheet,,"[经] 丁字形帐, 工作底表"
t-antenna,,[电] T形天线
t-band,, T带
T-bandage,,[医] 丁字带
t-bands,plural of t-band,(t-band 的复数)  T带
T-bar,n a surface lift where riders hold a bar and are pulled up the hill on their skis,"n. 丁字架, 丁字铁"
T-bar lift,,(可载两名滑雪者上山的)T字形滑雪输送机；倒T字形吊椅[亦作 T-bar]
T-bars,plural of T-bar\nn a surface lift where riders hold a bar and are pulled up the hill on their skis,"(T-bar 的复数) n.丁字架, 丁字铁"
t-bill,n a short-term obligation that is not interest-bearing (it is purchased at a discount); can be traded on a discount basis for 91 days,[经] 短期债券
t-bird,,abbr. Thunderbird 雷鸟
t-birds,plural of t-bird,(t-bird 的复数) abbr. Thunderbird 雷鸟
t-bolt,,"[机] t形螺栓, T槽螺栓"
t-bond,,[经] 债券
t-bonds,,[经] 长期债券
t-bone,,n. 丁字牛排
T-bone steak,,带T形骨的腰部嫩牛排
t-bones,plural of t-bone,(t-bone 的复数) n. 丁字牛排
T-carrier,,[计] T载波
t-cell,,n. [医][=t-lymphocytes]t淋巴细胞
t-cells,plural of t-cell,(t-cell 的复数) n. [医][=t-lymphocytes]t淋巴细胞
T-clamp,,[医] 丁字形夹
T-connector,,"[计] T型头, T形连接器"
T-connectors,plural of T-connector,"(T-connector 的复数) [计] T型头, T形连接器"
t-day,,abbr. Transition Day 过渡日
t-distribution,,[化] t分布
t-formation,,n. T字队形
T-group,,n. 训练小组
T-groups,plural of T-group,(T-group 的复数) n. 训练小组
t-handle,, 丁字把手
T-helper cell,,辅助T细胞
t-intersection,, 丁字形交叉
T-joint,,[化] 丁字接头
t-jointing,,[机] T接头
T-junction,n. a junction where two roads or pipes etc. meet to form a T,"n. T形结合, T形接头, T字型交叉路口, T形路口\n[电] T型接面"
T-junctions,plural of T-junction\nn. a junction where two roads or pipes etc. meet to form a T,"(T-junction 的复数) n. T形结合, T形接头, T字型交叉路口, T形路口\n[电] T型接面"
t-l,, [医][=thymus(-dependent)lymphocyte]胸腺依赖性淋巴细胞
t-lymphocyte,,T淋巴细胞
t-lymphocytes,plural of t-lymphocyte,(t-lymphocyte 的复数) T淋巴细胞
T-m,,[化] 解链温度
t-mac,,n. 麦格雷迪（即Tracy McGrady，美国篮球明星）
T-man,n. a special law-enforcement agent of the United States Treasury,n. [美国口语]财政部特派员
T-network,,n. T形四端网络\n[网络] T形网络；形网路
t-note,,[经] 中期公债
t-pa,,abbr. tissue plasminogen activator (for stroke patients) 组织血纤维蛋白溶酶原活化剂（用于中风病人）
t-pad,,[电] T型增耗垫
t-piece,,[机] T接头
t-pieces,plural of t-piece,(t-piece 的复数) [机] T接头
T-reactive dye,,[化] T型反应染料; T型活性染料
T-reactive dyes,,[化] T型反应染料; T型活性染料
t-rex,, 霸王龙
t-rna,,[机] 可溶性核糖核酸
t-scope,,[网络] 联合投资单位；速示器
t-score,, t分数
t-section,,"[机] T形断面, 丁字断面"
t-sections,plural of t-section,"(t-section 的复数) [机] T形断面, 丁字断面"
T-shaped,s shaped in the form of the letter T,[医] 丁字形的
T-shaped hair,,"[医] 丁字毛, 双臂毛"
T-shaped incision,,[医] T字形切开
T-shirt,n a close-fitting pullover shirt,"n. 圆领汗衫, T恤"
T-shirted,,a. T-shirt的变形
T-shirts,n. a close-fitting pullover shirt,n. 体恤衫；休闲服饰；圆领汗衫（T-shirt 的复数）
t-slot,,"[机] T形槽, T字形之槽"
t-slot bolt,,[机] T形槽螺栓
t-solt,,[机] T形槽铣刀
t-square,n. a square used by draftsmen to draw parallel lines,n. （画平行线时用的）丁字尺
t-squares,plural of t-square,(t-square 的复数) n. （画平行线时用的）丁字尺
t-steel,,"[机] T形钢, 丁形钢"
t-strap,,n. <美> 丁字形鞋面; （妇女或女孩穿的）丁字鞋
t-suquare,,"[机] T形尺, 丁字尺"
t-test,,[化] t检验
t-tests,plural of t-test,(t-test 的复数) [化] t检验
T-time,,n. 试验发射时刻
t-tube,, 丁字管
t-unit,,t单位
t-units,plural of t-unit,(t-unit 的复数) t单位
t-value,, t 值
t-wave,, T波
t.,,[医] 颞的
T. A.,,[医] 毒素抗毒素[合剂]
T. A. F.,,"[医] 脱ж结核菌素, 类毒素抗毒素絮状物"
T. A. M.,,[医] 类毒素抗毒素合剂
T. A. mixture,,[医] 毒素抗毒素合剂
T. A. T.,,"[医] 毒素抗毒素, 破伤风抗毒素"
T. b.,,"[医] 结核杆菌, 结核病"
T. C.,,[医] 接触性结核菌素
t. d. s.,,[医] 一天服三次
T. E. Lawrence,,[网络] 劳伦斯；托马斯·爱德华·劳伦斯
T. H. White,,[网络] 特伦斯·韩伯瑞·怀特
T. N. T. poisoning,,[医] 三硝基甲苯中毒
T. P.,,[医] 结核菌素沉淀
T. P. D.,,"[医] 丙二硫化硫胺, 丙硫硫胺, 新维生素B1"
T. R.,,"[医] 结核菌素沉渣, 新结核菌素"
T. S. Eliot,,[网络] 艾略特；美国诗人艾略特；托马斯·艾略特
T.B.,n infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages),"结核杆菌, 结核病, 肺结核"
T.F.,,[医] 结核菌素滤液
t.i.d.,,每日三次\n[医] 一天三次
T.p.t.g.,,[电] 调屏调栅振荡电路
T.S.,,[医] 试液
T.U.,,[医] 毒素单位
T.U.C,,职工大会
t/c,, [医][=to consider]考虑，认为
T0L system,,[计] 带产生式表的林氏无关系统
T1,,[计] T1线路\n[医] 铊(81号元素)
T1 carrier,,[计] T1级载波线
T1 multiplexer,,[计] T1多路复用器
T1 Small Aperture Terminal,,[计] T1级小型终端
T1824,,[医] 伊凡斯蓝
T1D50,,[医] 半数组织感染量
T2,,[计] T2服务
T3,,[计] T3服务
T3 carrier,,[计] T3级载波线
T4,,[计] T4服务
T4 cell,,【解剖学】 4号T细胞；4号淋巴细胞
ta,n a hard grey lustrous metallic element that is highly resistant to corrosion; occurs in niobite and fergusonite and tantalite,interj. 谢谢\n[计] 终端适配器
Ta'ziyeh,,[网络] 塔兹叶
ta-ta,,"interj. 回头见, 再见"
ta-tas,plural of ta-ta,"(ta-ta 的复数) interj. 回头见, 再见"
TA.,,[医] 硷性结核菌素
taa,,abbr. turbine-alternator assembly 涡轮交流发电机装配
