word,definition,translation
j,n. the 10th letter of the Roman alphabet,n. 字母j
J acid,,[化] J酸; 2-氨基-5-苯酚-7-磺酸
J band,,"[医] J盘, 明板(横纹肌)"
J particle,,【物理学】 J 粒子
J stomach,,[医] J字形胃
j'adoube,,int. 我摆正一下棋子
j-antenna,,[电] J形天线
J-bar,,n. J形缆车
J-bar lift,,(把滑雪者拉上高坡的)“J”字形上山吊杆[亦作 J-bar]
j-cloth,, J清洁布；轻软抹布
j-cloths,plural of j-cloth,(j-cloth 的复数)  J清洁布；轻软抹布
j-D-factor,,[化] j-D因子; 传质j因子
j-display,,[电] J显示
j-factor,,[化] j因子
j-groove,,[机] J形槽
j-H-factor,,[化] j-H因子; 传热j因子
j-hook,, [医]J钩
J-instance,,[计] J例示
j-j coupling,,[化] j-j偶合
J-K flip flop,,[计] JK触发器
j-k flip-flop,,[电] J-K正反器
j-m,,abbr. Jiyu-Minshuto (Japanese Liberal Democratic Party) 日本自由民主党; Johns-Manville 约翰-曼维尔
j-scan,,[电] J扫描
j-school,,abbr. journalism school 新闻学院
j-scope,,[电] J形望远镜
j-tree,,"[计] J树, 家族树"
j-type,,abbr. Jungian judging type 易雍学判定的类型
j-type defect,,[计] J型缺陷
j-types,plural of j-type,(j-type 的复数) abbr. Jungian judging type 易雍学判定的类型
J.,,[医] 焦耳氏当量(热功当量)
J. B. Rhine,,[网络] 莱因
J. B. S. Haldane,,[网络] 约翰·伯顿·桑德森·霍尔丹
J. C. Maxwell,,[网络] 马克斯威尔
J. Craig Ventner,,[网络] 克雷格文特
J. D. Salinger,,[网络] 杰罗姆·大卫·塞林格；沙林杰；家沙林杰
J. E. Johnston,,[网络] 约翰斯顿爵士
J. Edgar Hoover,,[网络] 胡佛；胡弗；局长胡佛
J. M. Barrie,,[网络] J.巴里
J. M. Synge,,[网络] J.M.Schge
J. P. Morgan,,[网络] 摩根大通；美国银行家摩根；摩根银行
J. R. Firth,,[网络] 英国语言学家费斯；弗斯
J.A.,,"数人共有的银行存款帐户, 联合代理人, 军法官, 军法检查官"
j.b. cabot short term fund,,[经] 卡波特短期基金
J.F.S.,,[机] 日本铸造协会
J.R.R. Tolkien,,[网络] 托尔金；约翰·罗纳德·瑞尔·托尔金
j/s ratio,,[电] J/S比例
j2ee,,abbr. JAVA平台环境（Java 2 Platform Enterprise Edition）
j2me,,abbr. Java语言2精简版（Java 2 Micro Edition）
j2se,,abbr. Java 2 标准版（Java 2 Standard Edition）
JA,,"数人共有的银行存款帐户, 联合代理人, 军法官, 军法检查官"
Ja Rule,"Rapper who thinks he can sing.  Can't do anyhting without Ashanti.\n> Mezmerized (or whatever that song is called) has got to be one of the worst songs of all time, which is, unsurprisingly, by Ja Rule\n",
jaa,,abbr. Japan Asia Airways 日本亚细亚航空
jaagsiekte,,[医] 南非羊肺炎
jaagziekte,,绵羊肺腺瘤病
jaan,,n. (Jaan)人名；(爱沙)扬
jaana,,n. (Jaana)人名；(芬)亚纳；(日)蛇穴 (姓)
jaap,,"n. <南非>傻瓜,乡巴佬"
jaar,,abbr. Journal of the American Academy of Religion <美国神学院院刊>
jab,n. a sharp hand gesture (resembling a blow)\nn. a quick short straight punch\nv. poke or thrust abruptly\nv. strike or punch with quick and short blows,"v. 刺, 戳, 猛击\nn. 刺, 戳, 猛击"
jab at,,"勐击,勐戳"
jab sth out,,戳掉某物
jab-off,,"n. 皮下注射麻醉品, 麻醉药注射发生的作用"
jaba,,"[医] 朱槿, 扶桑"
jabal,, [地名] 山（阿拉伯语）
jabali,, [地名] [墨西哥] 哈瓦利
Jabalpur,n an industrial city of central India to the southeast of Delhi,贾巴尔普尔[印度中部城市](或译赞浦尔)
jabar,,n. (Jabar)人名；(阿拉伯)贾巴尔
jabara,, [人名] 贾巴拉
Jabat al-Tahrir al-Filistiniyyah,,[网络] Jabhat al-Tahrir al-Filistin Iyyah
jabbar,,n. (Jabbar)人名；(阿拉伯、巴基)贾巴尔
jabbed,v poke or thrust abruptly\nv strike or punch with quick and short blows\nv stab or pierce,v. （用尖物）戳( jab的过去式和过去分词 ); 猛击; （用尖物）捅
jabber,n. rapid and indistinct speech,"v. 快而含糊地说, 吱吱喳喳地叫\nn. 快而含糊不清的话"
jabber control,,[计] 超长控制
jabbered,imp. & p. p. of Jabber,v. 急切而含混不清地说( jabber的过去式和过去分词 ); 急促兴奋地说话
jabberer,n. someone whose talk is trivial drivel," 说话莫名其妙的人, 说话荒唐的人"
jabbering,p. pr. & vb. n. of Jabber,v. 急切而含混不清地说( jabber的现在分词 ); 急促兴奋地说话; 结结巴巴
jabberingly,adv. In a jabbering manner.,adv. jabber的变形
jabbers,"n rapid and indistinct speech\nv talk in a noisy, excited, or declamatory manner",v. 急切而含混不清地说( jabber的第三人称单数 ); 急促兴奋地说话
jabberwockies,-s form of jabberwocky\nn. nonsensical language (according to Lewis Carroll),"(jabberwocky 的第三人称 -s形式) n. 无意义的话, 无聊"
jabberwocky,n. nonsensical language (according to Lewis Carroll),"n. 无意义的话, 无聊"
jabbing,n a sharp hand gesture (resembling a blow)\nv poke or thrust abruptly\nv strike or punch with quick and short blows\nv stab or pierce,v. （用尖物）戳( jab的现在分词 ); 猛击; （用尖物）捅
jabbour,, [人名] 杰伯
jabez,,n. 杰贝兹（男名）
Jabir,,n. (Jabir)人名；(阿拉伯)贾比尔
Jabirs,plural of Jabir,(Jabir 的复数) n. (Jabir)人名；(阿拉伯)贾比尔
jabiru,n large mostly white Australian stork\nn large black-and-white stork of tropical Africa; its red bill has a black band around the middle\nn large white stork of warm regions of the world especially America,n. [动物] 鹳（热带美洲产）
Jabiru mycteria,,[网络] 裸颈鹳
Jablochkoff candle,,[电] 雅布洛赫夫烛
jablonski,, [人名] 雅布隆斯基
jablow,, [人名] 贾布洛
jabo,, [地名] [加纳、尼日利亚、印度尼西亚] 贾博
jaborandi,n. The native name of a South American rutaceous shrub\n   (Pilocarpus pennatifolius). The leaves are used in medicine as an\n   diaphoretic and sialogogue.,"毛果芸香(产于南美, 是芸香科植物的叶干, 内含生物碱)"
jaborandi poisoning,,[医] 毛果芸香叶中毒
jaboridine,,美洲毛果芸香碱
jaborine,"n. An alkaloid found in jaborandi leaves, from which it is\n   extracted as a white amorphous substance. In its action it resembles\n   atropine.",[化] 美洲毛果芸香混碱\n[医] 贾博林(一种毛果芸香生物硷)
jabot,n. a ruffle on the front of a woman's blouse or a man's shirt,n. 胸部装饰
jaboticaba,n small evergreen tropical tree native to Brazil and West Indies but introduced into southern United States; grown in Brazil for its edible tough-skinned purple grapelike fruit that grows all along the branches\nn tough-skinned purple grapelike tropical fruit grown in Brazil,n. [植]拟爱神木
jaboticaba tree,,[网络] jaboticaba树
jaboty fat,,[化] 价波特脂(可作可可脂代用品)
Jaboulay button,,[医] 雅布累氏钮(肠吻合钮)
Jaboulay's amputation,,"[医] 雅布累氏切断术, 股盆部分切断术"
Jaboulay's button,,[医] 雅布累氏钮(肠吻合钮)
Jaboulay's operation,,"[医] 雅布累氏手术, 股盆部分切断术"
jabra,,n. Jabra公司1993年成立于圣地亚哥，从事探索免提通讯领域无限可能性的公司。2000年GN集团收购了Jabra公司。Jabra品牌蓝牙耳机 Jabra BT系列是其代表作。
