word,definition,translation
N,n. the 14th letter of the Roman alphabet,"[计] 负的, 数, 编号, 纳\n[医] 氮(7号元素), 当量的, 规度的(溶液)"
n carrier,,[法] 陆地承运人
n curve,,[电] N曲线
N factors,,"[医] N因子(缺乏时,鼠饮乙醇量增加)"
N lines,,[医] N线(X线谱)
N methylmyosmine,,[化] N-甲基麦斯明
N pole,,[化] (指)北极
n quadrant,,[电] N像限
n rays,,"[医] n射线, 布朗德罗氏射线(一种辐射线的衍生形式,尚未完全确定)"
n region,,[电] N区
n scan,,[电] N扫描
n scope,,[电] N镜
N'-benzoylsulfanilamide,,[医] N'-苯甲酰磺胺
N'Djamena,,n. 【城】恩贾梅纳\n[网络] 恩加美纳；恩将纳；首都恩贾梅纳
n'gana,,[医] 纳加那(非洲锥虫原)
N'N'-dibenzylethylenediamine,,[化] N'N'-二苄基乙二胺
n't,,adv. 不
n'test,superlative of n't,(n't 的最高级) adv.不
"N,1-acetylsulfanilamide",,[化] 磺胺醋酰
"N,2-formylsulfisomidine",,[化] 甲酰磺胺异二甲嘧啶
"N,4-acetylsulfanilamide",,"[化] N,4-乙酰磺胺; 对氨磺酰基乙酰苯胺"
"N,4-sulfanilylsulfanilamide",,[化] 磺胺酰磺胺; 双磺胺
"N,5-hydroxymethyltetrahydrofolic acid",,"[化] N,5-羟甲基四氢叶酸"
"N,6-furfuryladenine",,"[化] N,6-呋喃甲基腺嘌呤; 激动素"
"N,6-isopentenyladenine",,"[化] N,6-异戊烯腺嘌呤; 玉米素"
"N,N'-carbonyldiimidazole",,[化] 羰二咪唑
"N,N'-di-beta-naphthyl-p-phenylene diamine",,"[化] N,N'-二-β-萘基对苯二胺"
"N,N'-diethyl thiourea",,"[化] N,N'-二乙基硫脲"
"N,N'-difurfuryl thiourea",,"[化] N,N'-二糠基硫脲"
"N,N'-dinitrosopentamethylene tetramine",,"[化] N,N'-二亚硝基五亚甲基四胺; 发泡剂H"
"N,N'-diphenyl acetamidine",,"[化] N,N'-二苯乙脒"
"N,N'-diphenyl-ethylene diamine",,"[化] N,N'-二苯基亚乙基二胺"
"N,N'-diphenyl-formamidine",,"[化] N,N'-二苯基甲脒; 对称二苯甲脒"
"N,N'-diphenyl-p-phenylenediamine",,"[化] N,N'-二苯基对苯二胺"
"N,N,1-trimethyl-3,3-diphenylpropylamine",,"[化] N,N,1-三甲基-3,3-二苯丙胺"
"N,N-di-(sec)-octylacetamide(DOAA)",,"[化] N,N-二仲辛基乙酰胺"
"N,N-dibutylaniline",,"[化] N,N-二丁苯胺"
"N,N-diethyl-2-benzothiazole sulfenamide",,"[化] N,N-二乙基-2-苯并噻唑次磺酰胺; 硫化促进剂AZ"
"N,N-diethyl-p-phenylenediamine",,"[化] N,N-二乙基对苯二胺"
"N,N-diethylacetamide",,"[化] N,N-二乙基乙酰胺; 乙酰二乙胺"
"N,N-diethylbenzhydrylamine",,"[化] N,N-二乙基二苯甲基胺"
"N,N-diethylcarbanilide",,"[化] N,N-二乙二苯脲"
"N,N-diethylnicotinamide",,[化] 烟酰乙胺
"N,N-diisopropyl-2-benzothiazole sulfenamide",,"[化] N,N-二异丙基-2-苯并噻唑次磺酰胺; 硫化促进剂DIBS"
"N,N-dimethyl-p-phenylenediamine",,"[化] N,N-二甲基对苯二胺"
"N,N-dimethylacetamide(DMA)",,"[化] N,N-二甲基乙酰胺"
"N,N-dimethylaniline",,"[化] N,N-二甲基苯胺"
"N,N-dimethylformamide(DMF)",,"[化] N,N-二甲基甲酰胺"
"N,N-dimethyltryptamine",,"[化] N,N-二甲基色胺"
"N,N-diphenylthiourea",,"[化] N,N-二苯基硫脲"
n-,,[机] 正
"N-(1,2-diphenylethyl)nicotinamide",,"[化] N-(1,2-二苯基乙基)烟酰胺"
N-(1-naphthyl)ethylenediamine,,[化] N-(1-萘基)乙二胺
N-(2-chloroethyl)bibenzylamine hydrochloride,,[化] N-(2-氯乙基)二苄胺盐酸盐
"N-(3-aminopropyl)-butane-1,4-diamine",,"[化] 亚精胺; N--1,4-丁二胺; N-3-氨基丙基-1,4-丁二胺"
N-(ethylmercuri)-p-toluenesulfonanilide,,[化] N-乙汞基对甲苯磺酰苯胺
N-1,,[计] N-1网络
N-2 gas tank pressurizing unit,,[化] 氮气罐压力装置
N-acetyl carbazole,,[化] N-乙酰咔唑
N-acetyl ethanolamine,,[化] N-乙酰乙醇胺; N-乙酰-2-羟基乙胺
N-acetyl phenetidine,,[化] N-乙酰基乙氧苯胺
N-acetyl phenylglycine,,[化] N-乙酰苯胺基乙酸
N-acetyl-3-methoxytyramine,,[化] N-乙酰-3-甲氧酪胺
n-acetyl-hydroxylamine,,[建] 乙酰胲
n-acetylcysteine,, [医]N-乙酰半胱氨酸
N-acetyldjenkolic acid,,[化] N-乙酰黎豆氨酸; N-乙酰亚甲胱氨酸
N-acetyldopamine,,[化] N-乙酰多巴胺
n-acetylethanolamine,,[建] N-乙酰基乙醇氨
N-acetylgalactosamine,,[化] N-乙酰半乳糖胺
N-acetylgalactosamine dipho-sphouridine,,[化] N-乙酰半乳糖胺二磷酸尿苷
N-acetylglycine,,[化] 醋甘氨酸; N-乙酰甘氨酸
N-acetylhexosamine,,[化] N-乙酰己糖胺
N-acetylhydroxyproline,,[化] 醋羟脯氨酸
N-acetylmethionine,,[化] 乙酰蛋氨酸
N-acetylmuramyl pentapeptide,,[化] 乙酰胞壁酰五肽
N-acetylneuraminate,,[化] N-乙酰神经氨酸; N-乙酰神经氨糖酸; 唾液酸
N-acetylneuraminic acid,,[化] N-乙酰神经氨酸
N-acetylpenicillamine,,[化] 乙酰青霉胺
N-acetylsulfanilic acid,,[化] 对乙酰氨基苯磺酸
N-acetylsulfanilyl chloride,,[化] 对乙酰氨基苯磺酰氯
N-acetyltyramine,,[化] N-乙酰酪胺
N-acylsarcosine,,[化] N-酰肌氨酸
N-acylsphingosine,,[化] N-酰基鞘氨醇; N-酰基神经鞘氨醇
n-address code,,[计] n地址码
n-address computer,,[计] n地址计算机
n-address instruction,,[计] n地址指令
n-alkane,, 正烷烃
N-alkylation,,[化] N-烷基化
N-alkylbenzylamine,,[化] N-烷基苄胺
N-allyl stearamide,,[化] N-烯丙基硬脂酰胺
N-allylnordehydroisomorphinan,,[医] N-丙烯基去甲去氢异吗啡烷
N-allylnormorphine,,[医] N-丙烯基去甲吗啡
N-alpha-chloroacetyl-N-isopropyl-o ethylaniline,,[化] 杀草胺
n-amyl,,[化] 戊基; 正戊基
n-amyl acetate,,[化] 醋酸戊酯; 醋酸正戊酯
n-amyl alcohol,,[化] 戊醇; 正戊醇; 1-戊醇
n-amyl butyrate,,[化] 丁酸戊酯; 丁酸正戊酯
n-amyl butyric ester,,[化] 丁酸戊酯; 丁酸正戊酯
n-amyl chloride,,[化] 戊基氯; 正戊基氯; 1-氯戊烷
n-amyl chloroacetate,,[化] 氯乙酸戊酯; 氯乙酸正戊酯
n-amyl chlorocarbonate,,[化] 氯甲酸戊酯; 氯甲酸正戊酯
n-amyl chloroformate,,[化] 氯甲酸戊酯; 氯甲酸正戊酯
n-amyl cyanide,,[化] 戊基氰; 正戊基氰
n-amyl formate,,[建] 甲酸(正)戊酯
n-amyl iodide,,[化] 戊基碘; 正戊基碘; 1-碘代戊烷
n-amyl isothiocyanate,,[建] 异硫氰酸(正)戊酯
n-amyl ketone,,[化] 二戊基酮; 二正戊基甲酮; 均十一酮
n-amyl malonic acid,,[化] 戊基丙二酸; 正戊基丙二酸
n-amyl mercaptan,,[化] 戊硫醇; 正戊硫醇
n-amyl nitrite,,[化] 亚硝酸戊酯; 亚硝酸正戊酯
n-amyl penicillin,,[医] 戊青霉素
n-amylamine,,[化] 正戊胺
n-amylbenzene,,[化] 戊基苯; 正戊基苯; 1-苯基戊烷
n-amylether,,[化] 正戊醚
n-amylmercuric chloride,,[化] 氯化戊基汞; 氯化正戊基汞
