word,definition,translation
O,n. the 15th letter of the Roman alphabet\nn. the blood group whose red cells carry neither the A nor B antigens,"interj. 啊, 唉, 哎呀, 哦\nn. 零\n[计] 操作, 运算, 输出"
O agglutination,,[医] 菌体凝集
O agglutinin,,[医] 菌体凝集素
O antigen,,"[医] O抗原, 不动型抗原, 菌体抗原"
o attenuator,,[电] O型衰减器
o carboxy cinnamic acid,,[化] 邻羧基肉桂酸
O colony,,[医] O菌落(不动型菌落)
o face,The face made while banging the chick from logistics.\n> I taking this chick from logistics. If things go well tonight she will be seeing my o-face. o-o-o-o-o-o-o.\n,
O grade,,n. 普通等级考试（苏格兰旧时的单科考试，低于高级考试，通常在 16 岁时参加。1988 年由标准等级考试取代）
O Henry,,欧·亨利（人名）
O level,,普通程度；普通水平
O ring,,un. O形环；圆形截面密封圈\n[网络] O型圈；O形圈；O环
O rly,,n. 奥利（法国北部城镇）
o'," A prefix to Irish family names, which signifies grandson or\n   descendant of, and is a character of dignity; as, O'Neil, O'Carrol.\nprep. A shortened form of of or on.","prep. “of”的缩写(如o'clock等), “on” 的缩写"
O'Befirne's valves,,"[医] 奥贝恩氏瓣(直肠结肠襞,直肠括约肌)"
O'Beirne's experiment,,[医] 奥贝恩氏实验(示绞窄疝的成因)
O'Beirne's sphincter,,[医] 奥贝恩氏括约肌(在结肠直肠连接部)
O'Beirne's tube,,[医] 奥贝恩氏管(乙状结肠注射管)
O'Beirne's tubes,,[医] 奥贝恩氏管(乙状结肠注液管)
O'Brien,,n. 奥布赖恩\n[网络] 奥布莱恩；奥勃良；欧博文
O'Casey,,n. 奥凯西；Sean O'Casey 希安奥凯西\n[网络] 奥卡西；欧凯西
o'clock,r. according to the clock,"n. ...点钟, 钟头"
O'Connor,,n. 奥康纳；Arthur O'Connor 阿塞·奥康纳\n[网络] 欧康纳；欧康诺；奥康瑙尔
O'Dwyer's tubes,,[医] 奥德外耶氏管(插管套管)
o'ed,"past tense of o'\n A prefix to Irish family names, which signifies grandson or\n   descendant of, and is a character of dignity; as, O'Neil, O'Carrol.\nprep. A shortened form of of or on.","(o' 的过去时) prep.“of”的缩写(如o'clock等), “on” 的缩写"
o'er,r throughout a period of time,adv. & prep. <古>=over
O'Flaherty,,n. 奥弗莱厄蒂\n[网络] 欧福拉赫提
O'Hara,,"un. 奥哈拉(John,1905—,美国小说家)\n[网络] 欧哈拉；哈娜公主粉色；欧哈尔"
O'Hara's forceps,,[医] 奥哈拉氏钳(肠吻合术用)
O'Keeffe,,n. 奥基夫\n[网络] 欧姬芙；女画家欧姬芙；欧基芙
O'Neill,,n. 奥尼尔\n[网络] 欧尼尔；奥内尔；欧尼尔派
O'Shaughnessy's operation,,"[医] 奥绍尼西氏手术, 心网膜固定术"
O'Toole,,[网络] 奥吐尔；欧太勒
"O,O-diethyldithiophosphoric acid",,"[化] O,O-二乙基二硫代磷酸"
"O,O-diethylthiophosphoryl chloride",,"[化] O,O-二乙基硫代磷酰氯"
"O,O-dimethyl thiophosphoryl chloride",,"[化] O,O-二甲基硫代磷酰氯"
